Woonplaats,State,StateFull,Constellation,Bloodtype,Pounds,Kilograms,FeetInches,Centimeters,Gender
Rolde,DR,Drenthe,Taurus,B+,235,106.8,"5' 7""",169,male
Breukelen,UT,Utrecht,Sagittarius,A+,220.4,100.2,"5' 7""",169,female
Gieten,DR,Drenthe,Virgo,A+,174.7,79.4,"5' 8""",172,male
Veenendaal,UT,Utrecht,Leo,B+,219.3,99.7,"5' 1""",154,female
Holten,OV,Overijssel,Gemini,B+,143.7,65.3,"6' 0""",183,male
Briltil,GR,Groningen,Leo,AB+,193.2,87.8,"5' 8""",172,male
Wateringen,ZH,Zuid-Holland,Cancer,B+,166.8,75.8,"5' 7""",169,male
Voorburg,ZH,Zuid-Holland,Taurus,O+,144.3,65.6,"6' 1""",186,male
Driebergen-Rijsenburg,UT,Utrecht,Libra,A+,147.4,67,"5' 3""",161,female
Venlo,LI,Limburg,Taurus,O+,153.6,69.8,"5' 5""",165,female
Eindhoven,NB,Noord-Brabant,Taurus,O+,178.2,81,"6' 1""",186,male
Hattem,GE,Gelderland,Capricorn,O+,194.3,88.3,"5' 4""",163,female
Alkmaar,NH,Noord-Holland,Pisces,O+,161.3,73.3,"5' 10""",179,male
Amsterdam,NH,Noord-Holland,Sagittarius,B+,119.7,54.4,"5' 4""",163,female
Workum,FR,Friesland,Aquarius,O+,158,71.8,"5' 7""",171,female
Gorinchem,ZH,Zuid-Holland,Libra,O+,155.1,70.5,"5' 5""",165,female
Rotterdam,ZH,Zuid-Holland,Leo,O+,170.7,77.6,"5' 9""",174,female
Zuidhorn,GR,Groningen,Capricorn,O+,195.1,88.7,"5' 8""",173,male
Vlagtwedde,GR,Groningen,Cancer,A+,166.1,75.5,"5' 5""",165,female
Medemblik,NH,Noord-Holland,Gemini,B+,207.5,94.3,"5' 8""",173,male
Roermond,LI,Limburg,Libra,O+,166.5,75.7,"5' 1""",156,female
Tholen,ZE,Zeeland,Capricorn,B-,125,56.8,"5' 1""",156,female
Uden,NB,Noord-Brabant,Scorpio,O+,158,71.8,"6' 2""",187,male
Hendrik-Ido-Ambacht,ZH,Zuid-Holland,Sagittarius,A+,188.8,85.8,"5' 6""",168,male
Tholen,ZE,Zeeland,Scorpio,A+,174.2,79.2,"5' 7""",170,male
Almere,FL,Flevoland,Scorpio,O+,220.4,100.2,"5' 9""",174,male
Hellendoorn,OV,Overijssel,Sagittarius,O+,205.9,93.6,"5' 6""",167,male
Best,NB,Noord-Brabant,Virgo,O+,225.7,102.6,"5' 8""",173,female
Stadskanaal,GR,Groningen,Cancer,A+,220,100,"5' 5""",165,male
Moergestel,NB,Noord-Brabant,Taurus,AB-,226.2,102.8,"5' 8""",172,male
Maasbracht,LI,Limburg,Leo,O+,114,51.8,"5' 7""",170,female
Den Haag,ZH,Zuid-Holland,Scorpio,O+,187.2,85.1,"5' 5""",165,female
Hall,GE,Gelderland,Capricorn,A+,125.6,57.1,"5' 5""",166,female
Enter,OV,Overijssel,Cancer,O+,224.4,102,"6' 1""",185,male
Tiel,GE,Gelderland,Sagittarius,A+,217.6,98.9,"5' 11""",180,male
Schiedam,ZH,Zuid-Holland,Capricorn,A+,161.7,73.5,"5' 0""",152,female
Papendrecht,ZH,Zuid-Holland,Libra,O+,206.8,94,"5' 5""",164,female
Dodewaard,GE,Gelderland,Aries,O+,222.6,101.2,"5' 9""",176,male
Heiloo,NH,Noord-Holland,Virgo,O+,188.3,85.6,"5' 9""",176,male
Amsterdam,NH,Noord-Holland,Pisces,O+,231.2,105.1,"5' 7""",171,male
Drachten,FR,Friesland,Aries,B+,195.6,88.9,"5' 6""",168,male
Baarn,UT,Utrecht,Libra,A+,161.3,73.3,"5' 10""",179,male
Oss,NB,Noord-Brabant,Capricorn,B+,227,103.2,"5' 7""",170,female
Puttershoek,ZH,Zuid-Holland,Capricorn,O+,144.8,65.8,"5' 6""",168,male
Bergen op Zoom,NB,Noord-Brabant,Aries,A-,190.1,86.4,"5' 7""",169,female
Lelystad,FL,Flevoland,Pisces,O+,254.8,115.8,"6' 1""",185,male
Zwolle,OV,Overijssel,Leo,O+,185,84.1,"5' 7""",170,female
Benneveld,DR,Drenthe,Aquarius,O+,221.5,100.7,"5' 8""",172,male
Den Haag,ZH,Zuid-Holland,Gemini,O+,222.6,101.2,"5' 6""",167,female
Vlissingen,ZE,Zeeland,Gemini,B+,177.5,80.7,"5' 3""",160,female
Groningen,GR,Groningen,Cancer,O+,210.5,95.7,"5' 1""",154,female
Santpoort-Noord,NH,Noord-Holland,Aquarius,B+,152.2,69.2,"5' 2""",157,female
Geesbrug,DR,Drenthe,Aquarius,B+,230.3,104.7,"5' 9""",176,male
Zoetermeer,ZH,Zuid-Holland,Sagittarius,O+,189.2,86,"5' 2""",158,female
IJsselstein,UT,Utrecht,Pisces,B+,201.1,91.4,"5' 8""",172,male
Venlo,LI,Limburg,Aries,O+,151.4,68.8,"5' 0""",153,female
Krommenie,NH,Noord-Holland,Aquarius,O+,245.1,111.4,"6' 0""",182,male
Urk,FL,Flevoland,Scorpio,B+,166.8,75.8,"5' 8""",173,male
Groenlo,GE,Gelderland,Aries,B+,218,99.1,"5' 3""",160,female
Groningen,GR,Groningen,Scorpio,O+,123.9,56.3,"5' 5""",165,female
Kloosterzande,ZE,Zeeland,Libra,B+,172.7,78.5,"5' 2""",157,female
Poortvliet,ZE,Zeeland,Virgo,O+,164.1,74.6,"5' 6""",168,male
Amsterdam-Zuidoost,NH,Noord-Holland,Gemini,A+,172,78.2,"5' 11""",181,male
Bergambacht,ZH,Zuid-Holland,Taurus,O-,141,64.1,"5' 9""",174,male
Wessem,LI,Limburg,Sagittarius,O+,117.5,53.4,"5' 8""",173,female
Grave,NB,Noord-Brabant,Leo,AB+,220.9,100.4,"6' 1""",186,male
Spijkenisse,ZH,Zuid-Holland,Cancer,O+,216.5,98.4,"6' 2""",188,male
Dreischor,ZE,Zeeland,Gemini,A+,212.5,96.6,"5' 6""",168,female
Spijkenisse,ZH,Zuid-Holland,Capricorn,A+,213,96.8,"5' 5""",165,female
t Harde,GE,Gelderland,Virgo,O+,213.6,97.1,"5' 7""",169,female
Langenboom,NB,Noord-Brabant,Sagittarius,O+,194.9,88.6,"5' 2""",158,female
Oud Gastel,NB,Noord-Brabant,Libra,A+,189.9,86.3,"5' 9""",176,male
Poppenwier,FR,Friesland,Virgo,O-,181.1,82.3,"5' 4""",163,male
Ruurlo,GE,Gelderland,Aquarius,O+,159.3,72.4,"5' 10""",177,male
Breda,NB,Noord-Brabant,Cancer,O+,181.5,82.5,"6' 0""",184,male
Amsterdam,NH,Noord-Holland,Sagittarius,A+,149.4,67.9,"5' 1""",155,female
Dordrecht,ZH,Zuid-Holland,Cancer,B+,208.6,94.8,"5' 9""",174,male
Hengelo,OV,Overijssel,Aquarius,A+,182.8,83.1,"5' 10""",179,male
Castricum,NH,Noord-Holland,Virgo,O+,172.9,78.6,"5' 3""",161,female
Loosdrecht,NH,Noord-Holland,Libra,O+,237.8,108.1,"5' 8""",173,male
Nieuwegein,UT,Utrecht,Aquarius,O+,213.2,96.9,"5' 11""",181,male
Wessem,LI,Limburg,Virgo,O+,184.4,83.8,"5' 6""",167,male
Havelte,DR,Drenthe,Pisces,A+,223.1,101.4,"5' 4""",163,female
Huizen,NH,Noord-Holland,Sagittarius,B+,200.2,91,"5' 2""",157,female
Kloosterzande,ZE,Zeeland,Cancer,A-,192.5,87.5,"5' 5""",164,female
Moergestel,NB,Noord-Brabant,Pisces,O+,126.7,57.6,"5' 2""",157,female
Beltrum,GE,Gelderland,Leo,B+,220.4,100.2,"6' 1""",185,male
Doetinchem,GE,Gelderland,Aquarius,B+,167.9,76.3,"5' 7""",170,male
Sellingen,GR,Groningen,Leo,B+,119,54.1,"5' 8""",172,female
s-Gravenzande,ZH,Zuid-Holland,Pisces,A+,155.1,70.5,"5' 1""",156,female
Wageningen,GE,Gelderland,Scorpio,B+,167.6,76.2,"5' 10""",177,male
Boskoop,ZH,Zuid-Holland,Aries,B+,170.9,77.7,"4' 11""",151,female
Den Haag,ZH,Zuid-Holland,Aries,O+,208.6,94.8,"5' 9""",175,female
Haarlem,NH,Noord-Holland,Aquarius,O+,150.9,68.6,"5' 1""",155,female
Schiedam,ZH,Zuid-Holland,Cancer,B+,222.2,101,"5' 5""",165,female
Amsterdam,NH,Noord-Holland,Libra,O+,174,79.1,"6' 1""",185,male
Papendrecht,ZH,Zuid-Holland,Virgo,B+,250.4,113.8,"6' 1""",186,male
Enschede,OV,Overijssel,Scorpio,AB+,251,114.1,"5' 9""",176,male
Bussum,NH,Noord-Holland,Cancer,O+,181.3,82.4,"6' 0""",183,male
Markelo,OV,Overijssel,Pisces,O+,229,104.1,"5' 8""",172,female
Amsterdam,NH,Noord-Holland,Scorpio,O+,156,70.9,"5' 10""",178,male
Zoeterwoude,ZH,Zuid-Holland,Aquarius,O+,155.3,70.6,"5' 11""",181,male
Haarlem,NH,Noord-Holland,Scorpio,O+,147,66.8,"5' 1""",156,female
Leiden,ZH,Zuid-Holland,Sagittarius,A+,225.7,102.6,"5' 11""",181,male
Stieltjeskanaal,DR,Drenthe,Taurus,B+,159.3,72.4,"5' 6""",168,female
Almere,FL,Flevoland,Libra,O+,163.7,74.4,"6' 2""",187,male
Amsterdam,NH,Noord-Holland,Virgo,O+,193.4,87.9,"5' 8""",172,male
Zoeterwoude,ZH,Zuid-Holland,Pisces,O+,127.8,58.1,"6' 2""",189,male
Heeswijk-Dinther,NB,Noord-Brabant,Aquarius,AB+,193.4,87.9,"5' 2""",158,female
Boxtel,NB,Noord-Brabant,Virgo,O+,211.4,96.1,"5' 3""",159,female
Callantsoog,NH,Noord-Holland,Pisces,A+,171.2,77.8,"6' 0""",184,male
Zoetermeer,ZH,Zuid-Holland,Virgo,B+,174.7,79.4,"5' 9""",176,male
Haarlem,NH,Noord-Holland,Gemini,O+,211,95.9,"6' 0""",183,male
Herten,LI,Limburg,Libra,B+,231.2,105.1,"5' 3""",161,female
Abcoude,UT,Utrecht,Sagittarius,O+,213.6,97.1,"5' 6""",167,male
Amsterdam,NH,Noord-Holland,Sagittarius,O+,108.5,49.3,"5' 5""",164,female
Maastricht,LI,Limburg,Taurus,A+,132,60,"5' 6""",168,male
Almere,FL,Flevoland,Virgo,B-,218.7,99.4,"5' 2""",158,female
Kaag,ZH,Zuid-Holland,Scorpio,B+,160.8,73.1,"5' 5""",166,female
Bussum,NH,Noord-Holland,Scorpio,A+,217.4,98.8,"5' 3""",161,female
Vollenhove,OV,Overijssel,Gemini,B+,250.4,113.8,"5' 11""",181,male
Zaandam,NH,Noord-Holland,Cancer,O-,174,79.1,"5' 10""",179,male
Helmond,NB,Noord-Brabant,Scorpio,B+,184.1,83.7,"4' 11""",151,female
Rotterdam,ZH,Zuid-Holland,Capricorn,A+,123.9,56.3,"5' 4""",162,female
Neede,GE,Gelderland,Capricorn,A+,128.5,58.4,"6' 1""",186,male
Rosmalen,NB,Noord-Brabant,Taurus,O+,206.6,93.9,"5' 1""",155,female
Hilversum,NH,Noord-Holland,Aquarius,A+,143,65,"5' 9""",175,male
IJsselstein,UT,Utrecht,Libra,B+,240.2,109.2,"6' 0""",183,male
Nederhorst den Berg,NH,Noord-Holland,Leo,A+,188.5,85.7,"6' 2""",189,male
Apeldoorn,GE,Gelderland,Sagittarius,O+,160.6,73,"5' 8""",173,female
Katwijk,ZH,Zuid-Holland,Aquarius,B+,176,80,"5' 1""",156,female
Hoofddorp,NH,Noord-Holland,Cancer,B+,145.9,66.3,"6' 1""",186,male
IJmuiden,NH,Noord-Holland,Virgo,AB+,145.9,66.3,"5' 11""",180,male
Roosendaal,NB,Noord-Brabant,Gemini,B+,167.9,76.3,"6' 0""",184,male
Diphoorn,DR,Drenthe,Cancer,O+,157.7,71.7,"6' 2""",188,male
Gouda,ZH,Zuid-Holland,Aquarius,A+,238.9,108.6,"5' 10""",178,male
Wijk bij Duurstede,UT,Utrecht,Gemini,A+,202,91.8,"5' 9""",176,male
Doesburg,GE,Gelderland,Leo,B+,228.1,103.7,"6' 1""",185,male
Den Haag,ZH,Zuid-Holland,Sagittarius,O+,192.5,87.5,"6' 1""",185,male
Utrecht,UT,Utrecht,Leo,O-,133.5,60.7,"5' 11""",181,male
Landgraaf,LI,Limburg,Capricorn,B+,191,86.8,"6' 0""",183,male
Dalfsen,OV,Overijssel,Libra,O-,111.8,50.8,"5' 2""",158,female
Krommenie,NH,Noord-Holland,Aries,A+,203.3,92.4,"5' 3""",161,female
Hengelo,OV,Overijssel,Pisces,O+,105.8,48.1,"5' 6""",168,female
Hilversum,NH,Noord-Holland,Sagittarius,A-,205.5,93.4,"5' 8""",172,male
Ooij,GE,Gelderland,Sagittarius,B+,139.7,63.5,"5' 5""",165,female
Hapert,NB,Noord-Brabant,Sagittarius,O+,145,65.9,"5' 1""",154,female
Deventer,OV,Overijssel,Aries,A+,117.9,53.6,"5' 7""",169,female
Tiendeveen,DR,Drenthe,Virgo,O-,162.4,73.8,"4' 11""",150,female
Hendrik-Ido-Ambacht,ZH,Zuid-Holland,Gemini,A-,142.1,64.6,"5' 8""",172,female
Gieten,DR,Drenthe,Taurus,A+,158.6,72.1,"5' 7""",170,male
Diepenveen,OV,Overijssel,Scorpio,B+,163,74.1,"5' 6""",167,male
Kampen,OV,Overijssel,Virgo,O+,130.2,59.2,"5' 10""",177,male
Apeldoorn,GE,Gelderland,Aquarius,O+,220.4,100.2,"5' 11""",181,male
Schagen,NH,Noord-Holland,Gemini,A+,147.6,67.1,"5' 2""",157,female
Den Haag,ZH,Zuid-Holland,Virgo,B+,195.1,88.7,"5' 8""",173,male
Slochteren,GR,Groningen,Taurus,O+,182.4,82.9,"5' 11""",180,male
Papendrecht,ZH,Zuid-Holland,Taurus,AB+,237.2,107.8,"5' 10""",177,male
Silvolde,GE,Gelderland,Leo,A+,192.7,87.6,"5' 10""",179,male
Nijmegen,GE,Gelderland,Taurus,A+,139.7,63.5,"5' 5""",165,female
Elspeet,GE,Gelderland,Gemini,B-,196.7,89.4,"4' 11""",151,female
Amsterdam,NH,Noord-Holland,Scorpio,A-,224.6,102.1,"4' 11""",151,female
Amstelveen,NH,Noord-Holland,Capricorn,O+,150.7,68.5,"6' 0""",182,male
s-Hertogenbosch,NB,Noord-Brabant,Aquarius,A+,151.8,69,"5' 7""",171,male
Waspik,NB,Noord-Brabant,Virgo,A+,174,79.1,"5' 4""",163,female
Uitgeest,NH,Noord-Holland,Aries,O+,133.1,60.5,"5' 2""",158,female
Deventer,OV,Overijssel,Gemini,B+,237.2,107.8,"5' 8""",173,male
Arnhem,GE,Gelderland,Aries,A+,164.6,74.8,"5' 7""",169,female
Zoetermeer,ZH,Zuid-Holland,Scorpio,O-,164.3,74.7,"5' 9""",176,male
Klazienaveen,DR,Drenthe,Virgo,A+,169,76.8,"5' 9""",174,male
Amsterdam,NH,Noord-Holland,Virgo,B+,175.8,79.9,"5' 0""",152,female
Vleuten,UT,Utrecht,Libra,B+,168.5,76.6,"5' 6""",167,male
Kolham,GR,Groningen,Leo,O+,137.3,62.4,"6' 0""",183,male
Waalwijk,NB,Noord-Brabant,Leo,B+,155.5,70.7,"6' 0""",183,male
Den Haag,ZH,Zuid-Holland,Sagittarius,A+,199.3,90.6,"6' 0""",184,male
Zoetermeer,ZH,Zuid-Holland,Aquarius,O+,164.6,74.8,"5' 8""",172,female
Rotterdam,ZH,Zuid-Holland,Aries,B+,210.3,95.6,"5' 2""",157,female
Dordrecht,ZH,Zuid-Holland,Cancer,B+,183.5,83.4,"5' 1""",156,female
Tilburg,NB,Noord-Brabant,Libra,O-,231,105,"5' 5""",165,female
Warnsveld,GE,Gelderland,Aries,O+,244.9,111.3,"5' 7""",171,male
Nieuw Vennep,NH,Noord-Holland,Capricorn,O+,134.6,61.2,"5' 7""",171,male
Hardenberg,OV,Overijssel,Pisces,O+,141.9,64.5,"5' 5""",166,female
Zeddam,GE,Gelderland,Taurus,O+,135.3,61.5,"5' 7""",171,male
Gilze,NB,Noord-Brabant,Leo,O-,222.6,101.2,"6' 0""",182,male
IJsselstein,UT,Utrecht,Scorpio,A+,209,95,"6' 0""",183,male
Oudorp,NH,Noord-Holland,Aries,O+,110.2,50.1,"5' 5""",166,female
Amsterdam,NH,Noord-Holland,Cancer,B+,203.7,92.6,"6' 1""",185,male
Dirksland,ZH,Zuid-Holland,Cancer,B+,194.9,88.6,"5' 2""",158,female
Utrecht,UT,Utrecht,Sagittarius,AB+,161.7,73.5,"5' 3""",160,female
Hardenberg,OV,Overijssel,Aries,O+,190.5,86.6,"5' 5""",164,female
Froombosch,GR,Groningen,Cancer,B+,197.8,89.9,"5' 10""",179,male
Leeuwarden,FR,Friesland,Pisces,O+,142.1,64.6,"5' 3""",160,female
Bedum,GR,Groningen,Pisces,O+,136.4,62,"5' 8""",172,male
Joure,FR,Friesland,Virgo,A+,162.1,73.7,"5' 10""",178,male
Amsterdam,NH,Noord-Holland,Gemini,O+,131.3,59.7,"5' 5""",165,female
Landgraaf,LI,Limburg,Aquarius,O+,211.4,96.1,"5' 5""",165,female
Vianen,UT,Utrecht,Pisces,B+,115.7,52.6,"5' 3""",159,female
Leunen,LI,Limburg,Taurus,AB+,153.8,69.9,"5' 2""",157,female
Amsterdam,NH,Noord-Holland,Sagittarius,O+,165.9,75.4,"5' 7""",171,female
Noordwijk,ZH,Zuid-Holland,Aquarius,A+,169.4,77,"5' 6""",167,female
Volendam,NH,Noord-Holland,Leo,O+,119.7,54.4,"5' 1""",156,female
Middelburg,ZE,Zeeland,Sagittarius,O+,128.7,58.5,"5' 3""",160,female
Rotterdam,ZH,Zuid-Holland,Scorpio,A+,136,61.8,"5' 8""",173,male
Apeldoorn,GE,Gelderland,Gemini,B+,198.7,90.3,"5' 7""",169,male
Kootwijkerbroek,GE,Gelderland,Gemini,B+,188.3,85.6,"6' 2""",187,male
Delft,ZH,Zuid-Holland,Pisces,AB+,181.7,82.6,"5' 6""",167,male
De Wilgen,FR,Friesland,Virgo,B+,134.9,61.3,"5' 11""",180,male
Oosternijkerk,FR,Friesland,Aries,O-,206.8,94,"5' 11""",180,male
Finsterwolde,GR,Groningen,Aries,AB+,223.5,101.6,"5' 7""",170,male
Leeuwarden,FR,Friesland,Sagittarius,O+,206.1,93.7,"5' 11""",180,male
Schoorl,NH,Noord-Holland,Aquarius,B+,192.1,87.3,"5' 10""",177,male
Zwolle,OV,Overijssel,Taurus,AB+,191.2,86.9,"5' 6""",168,male
Winterswijk,GE,Gelderland,Capricorn,B+,110.7,50.3,"5' 3""",160,female
Emmen,DR,Drenthe,Virgo,A+,139.5,63.4,"4' 11""",151,female
Vessem,NB,Noord-Brabant,Aquarius,A+,133.1,60.5,"5' 9""",175,male
Doetinchem,GE,Gelderland,Cancer,A+,214.3,97.4,"5' 7""",169,female
Borculo,GE,Gelderland,Leo,O+,167.6,76.2,"6' 0""",184,male
Badhoevedorp,NH,Noord-Holland,Aquarius,A+,202.8,92.2,"5' 10""",178,male
Glane,OV,Overijssel,Taurus,AB+,176,80,"6' 2""",188,male
Maastricht,LI,Limburg,Libra,B+,127.4,57.9,"5' 0""",153,female
Zuurdijk,GR,Groningen,Sagittarius,O+,183.7,83.5,"6' 2""",189,male
Hansweert,ZE,Zeeland,Capricorn,A+,178.6,81.2,"5' 7""",171,female
Amsterdam,NH,Noord-Holland,Cancer,O+,213.4,97,"5' 10""",177,male
Utrecht,UT,Utrecht,Scorpio,B+,218,99.1,"5' 2""",158,female
Assen,DR,Drenthe,Aquarius,O-,139.7,63.5,"5' 9""",174,male
Amsterdam,NH,Noord-Holland,Taurus,A+,175.6,79.8,"5' 5""",164,female
Den Haag,ZH,Zuid-Holland,Pisces,O-,194.9,88.6,"5' 1""",155,female
Tilburg,NB,Noord-Brabant,Scorpio,A+,227.3,103.3,"6' 1""",185,male
Pijnacker,ZH,Zuid-Holland,Pisces,O+,135.3,61.5,"5' 3""",161,female
Oud-Beijerland,ZH,Zuid-Holland,Aquarius,A+,116.2,52.8,"5' 5""",166,female
Arnhem,GE,Gelderland,Capricorn,B+,144.1,65.5,"5' 1""",156,female
Oud-Vossemeer,ZE,Zeeland,Cancer,B+,160.2,72.8,"5' 5""",164,female
Budel,NB,Noord-Brabant,Leo,O+,185.9,84.5,"5' 7""",170,male
Hoensbroek,LI,Limburg,Taurus,A+,152,69.1,"6' 1""",185,male
Groningen,GR,Groningen,Virgo,O+,156.9,71.3,"5' 9""",174,male
Noordwijk,ZH,Zuid-Holland,Aries,O+,132,60,"5' 3""",159,female
Vollenhove,OV,Overijssel,Virgo,O-,235.4,107,"5' 7""",171,male
Groningen,GR,Groningen,Aquarius,O+,164.3,74.7,"5' 3""",161,female
Deurne,NB,Noord-Brabant,Aries,B+,225.7,102.6,"5' 10""",179,male
Berlicum,NB,Noord-Brabant,Capricorn,O-,187.9,85.4,"5' 10""",177,male
Maastricht,LI,Limburg,Capricorn,B+,176,80,"5' 1""",156,female
Lathum,GE,Gelderland,Aquarius,B+,152.7,69.4,"6' 2""",189,male
Sint-Oedenrode,NB,Noord-Brabant,Leo,O+,180.8,82.2,"5' 5""",165,female
Gorinchem,ZH,Zuid-Holland,Libra,O+,184.8,84,"5' 8""",172,female
Maastricht,LI,Limburg,Aquarius,O+,193.4,87.9,"5' 2""",158,female
Rotterdam,ZH,Zuid-Holland,Scorpio,A+,159.3,72.4,"5' 9""",176,male
Den Haag,ZH,Zuid-Holland,Pisces,A+,182.2,82.8,"6' 0""",183,male
Heemskerk,NH,Noord-Holland,Gemini,B+,217.4,98.8,"5' 3""",161,female
Geldrop,NB,Noord-Brabant,Sagittarius,B+,209.4,95.2,"5' 9""",176,male
Utrecht,UT,Utrecht,Sagittarius,A+,127.2,57.8,"5' 1""",154,female
Den Haag,ZH,Zuid-Holland,Taurus,O+,207.7,94.4,"6' 1""",186,male
Twijzelerheide,FR,Friesland,Cancer,A+,168.5,76.6,"5' 11""",180,male
Rotterdam,ZH,Zuid-Holland,Aquarius,B-,174.2,79.2,"5' 2""",158,female
Opheusden,GE,Gelderland,Capricorn,O+,154.9,70.4,"5' 6""",168,female
Scheemda,GR,Groningen,Gemini,AB+,137.3,62.4,"5' 9""",176,male
Utrecht,UT,Utrecht,Aries,O+,222.9,101.3,"5' 10""",178,male
Dalfsen,OV,Overijssel,Gemini,O+,169.6,77.1,"5' 1""",155,female
Bergen,NH,Noord-Holland,Pisces,B+,153.3,69.7,"5' 6""",167,female
Zeeland,NB,Noord-Brabant,Sagittarius,AB-,222.9,101.3,"5' 5""",164,male
Leeuwarden,FR,Friesland,Leo,AB+,187.9,85.4,"5' 4""",162,female
Huizen,NH,Noord-Holland,Aquarius,AB+,222,100.9,"5' 4""",163,female
Marken,NH,Noord-Holland,Aquarius,A+,200.2,91,"5' 9""",174,male
Leeuwarden,FR,Friesland,Sagittarius,O+,144.3,65.6,"5' 3""",159,female
Veldhoven,NB,Noord-Brabant,Leo,A+,178.6,81.2,"5' 5""",164,female
Swalmen,LI,Limburg,Scorpio,B+,223.3,101.5,"5' 3""",161,female
Woudenberg,UT,Utrecht,Taurus,B+,139.3,63.3,"5' 9""",174,male
Ootmarsum,OV,Overijssel,Virgo,O+,218.7,99.4,"5' 10""",179,male
Kaatsheuvel,NB,Noord-Brabant,Virgo,O+,124.5,56.6,"5' 2""",157,female
Beekbergen,GE,Gelderland,Aquarius,B+,176.4,80.2,"6' 2""",187,male
Bellingwolde,GR,Groningen,Aries,O+,162.4,73.8,"6' 0""",184,male
Amstelveen,NH,Noord-Holland,Capricorn,A+,115.3,52.4,"5' 5""",166,female
Haren,GR,Groningen,Taurus,O-,195.6,88.9,"5' 7""",170,male
Breda,NB,Noord-Brabant,Gemini,O+,218.7,99.4,"5' 9""",174,male
Lichtenvoorde,GE,Gelderland,Cancer,O+,158,71.8,"5' 7""",169,male
Tilburg,NB,Noord-Brabant,Pisces,B+,158.8,72.2,"5' 7""",169,female
Lelystad,FL,Flevoland,Gemini,AB+,129.8,59,"5' 3""",159,female
Oostkapelle,ZE,Zeeland,Capricorn,A+,178.6,81.2,"5' 5""",166,male
Woerden,UT,Utrecht,Sagittarius,A+,221.3,100.6,"5' 4""",163,male
Rotterdam,ZH,Zuid-Holland,Sagittarius,A+,196.9,89.5,"5' 9""",174,male
Amersfoort,UT,Utrecht,Scorpio,A+,190.7,86.7,"6' 0""",183,male
Weert,LI,Limburg,Pisces,O+,222,100.9,"5' 2""",157,female
Hellevoetsluis,ZH,Zuid-Holland,Aquarius,O+,154.2,70.1,"6' 0""",183,male
Eindhoven,NB,Noord-Brabant,Capricorn,O+,244,110.9,"5' 10""",179,male
Laag Zuthem,OV,Overijssel,Sagittarius,AB+,142.3,64.7,"6' 1""",185,male
Alphen aan den Rijn,ZH,Zuid-Holland,Aries,B+,140.6,63.9,"5' 11""",180,male
Hattem,GE,Gelderland,Gemini,O+,211,95.9,"6' 0""",184,male
Zelhem,GE,Gelderland,Capricorn,A+,186.8,84.9,"5' 2""",157,female
Lelystad,FL,Flevoland,Aquarius,O-,184.1,83.7,"5' 3""",159,female
Hendrik-Ido-Ambacht,ZH,Zuid-Holland,Scorpio,AB+,235,106.8,"5' 6""",167,male
Hoek van Holland,ZH,Zuid-Holland,Taurus,O+,232.1,105.5,"5' 11""",181,male
Tilburg,NB,Noord-Brabant,Gemini,O-,119,54.1,"5' 5""",164,female
Lisse,ZH,Zuid-Holland,Libra,O+,211.6,96.2,"5' 2""",157,female
Amstelveen,NH,Noord-Holland,Taurus,B+,185,84.1,"5' 7""",170,female
Monster,ZH,Zuid-Holland,Aries,O+,222.2,101,"5' 1""",154,female
Genderen,NB,Noord-Brabant,Taurus,B-,158.8,72.2,"5' 0""",153,female
Nijmegen,GE,Gelderland,Gemini,B+,238.7,108.5,"5' 6""",167,male
Strijen,ZH,Zuid-Holland,Gemini,B+,222.4,101.1,"5' 9""",175,female
Tilburg,NB,Noord-Brabant,Aquarius,O+,126.9,57.7,"5' 4""",163,female
Amersfoort,UT,Utrecht,Sagittarius,O+,218.5,99.3,"5' 9""",176,male
Zutphen,GE,Gelderland,Virgo,A+,121.4,55.2,"5' 2""",157,female
Hoogerheide,NB,Noord-Brabant,Pisces,O+,203.9,92.7,"5' 4""",163,female
Nuenen,NB,Noord-Brabant,Pisces,B-,201.5,91.6,"5' 0""",152,female
Amsterdam,NH,Noord-Holland,Virgo,O+,212.5,96.6,"5' 5""",166,female
Harmelen,UT,Utrecht,Sagittarius,A+,156.4,71.1,"4' 11""",151,female
Tilburg,NB,Noord-Brabant,Capricorn,O+,208.6,94.8,"6' 0""",183,male
Tilburg,NB,Noord-Brabant,Virgo,A+,219.1,99.6,"5' 7""",169,male
Rijen,NB,Noord-Brabant,Aries,A-,165.4,75.2,"5' 2""",158,female
Reeuwijk,ZH,Zuid-Holland,Cancer,A+,228.8,104,"5' 9""",176,male
Boskoop,ZH,Zuid-Holland,Leo,O+,143.9,65.4,"5' 7""",169,male
Purmerend,NH,Noord-Holland,Virgo,A+,236.3,107.4,"5' 10""",177,male
Rotterdam,ZH,Zuid-Holland,Pisces,O+,120.3,54.7,"5' 0""",153,female
Gouda,ZH,Zuid-Holland,Virgo,A+,156.6,71.2,"4' 11""",151,female
Amsterdam,NH,Noord-Holland,Taurus,O+,206.6,93.9,"5' 11""",180,male
Amsterdam,NH,Noord-Holland,Scorpio,A+,174.5,79.3,"5' 4""",163,female
Sassenheim,ZH,Zuid-Holland,Aries,O+,153.6,69.8,"5' 6""",168,female
Leiderdorp,ZH,Zuid-Holland,Aries,A+,123,55.9,"5' 3""",160,female
Barneveld,GE,Gelderland,Taurus,A+,153.8,69.9,"5' 3""",161,female
